N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,한국타이어앤테크놀로지,"31,400",750,+2.45%,500,"38,897","123,875",38.55,"183,426",13.13,6.03,
61,맥쿼리인프라,"10,900",150,+1.40%,0,"38,046","349,044",17.10,"451,529",N/A,N/A,
62,LG이노텍,"155,500","4,000",+2.64%,"5,000","36,802","23,667",35.08,"84,030",16.10,4.73,
63,한미사이언스,"55,000","2,000",+3.77%,500,"36,306","66,011",1.90,"103,959",128.21,4.73,
64,두산중공업,"13,600",750,+5.84%,"5,000","34,427","253,141",7.03,"4,426,813",-2.68,-14.73,
65,SK케미칼,"289,500","11,500",-3.82%,"5,000","33,991","11,741",11.83,"304,087",14.89,1.51,
66,현대중공업지주,"214,000","9,000",+4.39%,"5,000","33,809","15,799",17.83,"23,374",-15.09,2.20,
67,현대건설,"30,150",450,+1.52%,"5,000","33,574","111,356",20.76,"283,377",9.98,6.30,
68,에스원,"87,300",500,+0.58%,500,"33,173","37,999",55.75,"23,679",22.42,11.32,
69,삼성중공업,"5,240",90,+1.75%,"5,000","33,012","630,000",15.54,"1,337,223",-1.81,-21.88,
70,대한항공,"18,800",450,+2.45%,"5,000","32,751","174,210",11.33,"753,599",-2.80,-22.09,
71,금호석유,"107,000","10,800",+11.23%,"5,000","32,600","30,468",33.02,"337,846",12.24,11.84,
72,삼성카드,"28,000",300,+1.08%,"5,000","32,440","115,859",9.77,"33,693",8.66,5.04,
73,현대차2우B,"88,000","1,700",+1.97%,"5,000","32,107","36,485",62.36,"33,288",12.68,N/A,
74,현대제철,"23,950",250,+1.05%,"5,000","31,960","133,446",18.82,"206,957",-11.88,0.10,
75,한미약품,"267,500","5,500",+2.10%,"2,500","31,680","11,843",14.18,"25,362",87.88,7.30,
76,DB손해보험,"44,400",150,-0.34%,500,"31,435","70,800",40.15,"35,345",5.81,6.92,
77,더존비즈온,"103,500","2,500",-2.36%,500,"30,711","29,673",45.53,"73,531",64.61,18.78,
78,SKC,"79,900","2,300",+2.96%,"5,000","29,990","37,535",8.74,"165,371",28.95,3.86,
79,롯데지주,"28,500",500,+1.79%,200,"29,899","104,909",11.25,"44,941",-4.30,-5.21,
80,동서,"29,900",100,-0.33%,500,"29,810","99,700",5.87,"108,259",21.67,10.53,
81,호텔신라,"75,700","2,500",+3.42%,"5,000","29,711","39,248",20.56,"259,368",-40.03,20.16,
82,쌍용양회,"5,860",40,+0.69%,"1,000","29,526","503,860",2.88,"1,260,480",22.11,7.02,
83,GS,"31,050",500,+1.64%,"5,000","28,850","92,915",20.14,"96,538",-25.68,6.26,
84,대림산업,"77,300","1,100",+1.44%,"5,000","26,900","34,800",39.46,"109,650",4.35,11.74,
85,두산밥캣,"26,750",800,+3.08%,500,"26,817","100,249",21.46,"281,357",14.65,7.05,
86,삼성증권,"29,550",150,+0.51%,"5,000","26,388","89,300",24.75,"160,747",8.11,8.15,
87,녹십자,"220,500","5,000",+2.32%,"5,000","25,769","11,687",18.07,"54,420",431.51,-0.35,
88,NH투자증권,"9,080",10,+0.11%,"5,000","25,552","281,409",13.34,"454,373",5.94,9.12,
89,하이트진로,"36,100","2,750",+8.25%,"5,000","25,318","70,134",10.21,"425,397",37.29,-3.86,
90,한샘,"106,500","2,000",-1.84%,"1,000","25,064","23,534",24.46,"80,634",47.93,7.32,
91,GS리테일,"32,500",450,+1.40%,"1,000","25,025","77,000",16.35,"121,766",14.98,6.25,
92,대우조선해양,"22,650",600,+2.72%,"5,000","24,282","107,206",9.12,"93,317",-26.12,-1.22,
93,제일기획,"21,100",200,-0.94%,200,"24,274","115,041",30.69,"254,496",18.87,15.09,
94,KODEX 200선물인버스2X,"4,255",135,-3.08%,0,"24,271","570,400",1.56,"119,017,249",N/A,N/A,
95,TIGER 200,"30,855",465,+1.53%,0,"23,573","76,400",2.05,"563,962",N/A,N/A,
